[2022-02-12 23:26:49,876] INFO [setUpClass testcase_07_selectOrder.py 14] selectOrder接口用例页开始
[2022-02-12 23:26:50,637] INFO [TestCase_Log testcase_log.py 9] 测试用例：selectOrder_para_nomal
[2022-02-12 23:26:50,637] INFO [TestCase_Log testcase_log.py 10] Url：http://192.168.107.135:80/freshO2O/indentSelect.action
[2022-02-12 23:26:50,637] INFO [TestCase_Log testcase_log.py 11] 请求参数：{"id":"1","gotoPage":"0"}
[2022-02-12 23:26:50,638] INFO [TestCase_Log testcase_log.py 12] 期望结果：{"result":"ok"}
[2022-02-12 23:26:50,638] INFO [TestCase_Log testcase_log.py 13] 实际结果：{"account":null,"gotoPage":0,"id":0,"list":[{"GAmount":30.0,"GId":10,"GName":"大米","GNum":10,"GPrice":3.0,"OAddr":"广州市天河区","OState":"已发货","OTime":"2016-03-20T00:00:00","account":"zhangsan","id":1}],"msg":"","pageCount":12,"pageIndex":1,"result":"ok","totalCount":3,"totalPage":1}
[2022-02-12 23:26:50,638] INFO [testselectOrder testcase_07_selectOrder.py 32] 测试结果为Pass
[2022-02-12 23:26:50,731] INFO [TestCase_Log testcase_log.py 9] 测试用例：selectOrder_para_mix
[2022-02-12 23:26:50,731] INFO [TestCase_Log testcase_log.py 10] Url：http://192.168.107.135:80/freshO2O/indentSelect.action
[2022-02-12 23:26:50,732] INFO [TestCase_Log testcase_log.py 11] 请求参数：{"id":"1","gotoPage":"0","totalPage":1}
[2022-02-12 23:26:50,732] INFO [TestCase_Log testcase_log.py 12] 期望结果：{"result":"ok"}
[2022-02-12 23:26:50,732] INFO [TestCase_Log testcase_log.py 13] 实际结果：{"account":null,"gotoPage":0,"id":0,"list":[{"GAmount":30.0,"GId":10,"GName":"大米","GNum":10,"GPrice":3.0,"OAddr":"广州市天河区","OState":"已发货","OTime":"2016-03-20T00:00:00","account":"zhangsan","id":1}],"msg":"","pageCount":12,"pageIndex":1,"result":"ok","totalCount":3,"totalPage":1}
[2022-02-12 23:26:50,732] INFO [testselectOrder testcase_07_selectOrder.py 32] 测试结果为Pass
[2022-02-12 23:26:50,826] INFO [TestCase_Log testcase_log.py 9] 测试用例：selectOrder_bypass_ui
[2022-02-12 23:26:50,826] INFO [TestCase_Log testcase_log.py 10] Url：http://192.168.107.135:80/freshO2O/indentSelect.action
[2022-02-12 23:26:50,826] INFO [TestCase_Log testcase_log.py 11] 请求参数：{"id":"1","gotoPage":"-2"}
[2022-02-12 23:26:50,826] INFO [TestCase_Log testcase_log.py 12] 期望结果：{"result":"fail"}
