[2022-02-09 23:26:05,514] INFO [setUpClass testcase_05_selectGoodCategory.py 14] selectGoodCategory接口用例页开始
[2022-02-09 23:26:06,387] INFO [TestCase_Log testcase_log.py 9] 测试用例：selectGoodCategory_para_nomal
[2022-02-09 23:26:06,388] INFO [TestCase_Log testcase_log.py 10] Url：http://192.168.107.135:80/freshO2O/goodsSelectByCategory.action
[2022-02-09 23:26:06,388] INFO [TestCase_Log testcase_log.py 11] 请求参数：{"category_id":"3"}
[2022-02-09 23:26:06,389] INFO [TestCase_Log testcase_log.py 12] 期望结果：{"result":"ok"}
[2022-02-09 23:26:06,389] INFO [TestCase_Log testcase_log.py 13] 实际结果：{"category_id":3,"list":[{"GDesc":"吃猪肉，强身健体","GDis":null,"GId":8,"GName":"猪肉","GPic":"\/upload\/20160327233002.jpg","GPrice":23.0,"GType":null,"categoryId":3,"g_count":200,"g_discount":0,"g_integration":0,"g_reco":"0"},{"GDesc":"羊肉能御风寒，又可补身体，适宜于冬季食用，故被称为冬令补品，深受人们欢迎。","GDis":null,"GId":19,"GName":"羊肉","GPic":"\/upload\/yangrou.jpg","GPrice":36.0,"GType":null,"categoryId":3,"g_count":2,"g_discount":0,"g_integration":0,"g_reco":"0"},{"GDesc":"牛肉是指从牛身上得出的肉，为常见的肉品之一。","GDis":null,"GId":20,"GName":"牛肉","GPic":"\/upload\/niurou.jpg","GPrice":48.0,"GType":null,"categoryId":3,"g_count":2,"g_discount":0,"g_integration":0,"g_reco":"0"},{"GDesc":"鸡肉不但适于热炒、炖汤，而且是比较适合冷食凉拌的肉类。","GDis":null,"GId":29,"GName":"鸡肉","GPic":"\/upload\/jirou.jpg","GPrice":16.8,"GType":null,"categoryId":3,"g_count":200,"g_discount":0,"g_integration":0,"g_reco":"0"},{"GDesc":"鸭是为餐桌上的上乘肴馔，也是人们进补的优良食品。","GDis":null,"GId":30,"GName":"鸭肉","GPic":"\/upload\/yarou.jpg","GPrice":18.8,"GType":null,"categoryId":3,"g_count":100,"g_discount":0,"g_integration":0,"g_reco":"0"}],"msg":"","result":"ok"}
[2022-02-09 23:26:06,390] INFO [testselectGoodCategory testcase_05_selectGoodCategory.py 30] 测试结果为Pass
[2022-02-09 23:26:07,181] INFO [TestCase_Log testcase_log.py 9] 测试用例：selectGoodCategory_para_mix
[2022-02-09 23:26:07,182] INFO [TestCase_Log testcase_log.py 10] Url：http://192.168.107.135:80/freshO2O/goodsSelectByCategory.action
[2022-02-09 23:26:07,182] INFO [TestCase_Log testcase_log.py 11] 请求参数：{"category_id":"3","result":"fail"}
[2022-02-09 23:26:07,182] INFO [TestCase_Log testcase_log.py 12] 期望结果：{"result":"ok"}
[2022-02-09 23:26:07,183] INFO [TestCase_Log testcase_log.py 13] 实际结果：{"category_id":3,"list":[{"GDesc":"吃猪肉，强身健体","GDis":null,"GId":8,"GName":"猪肉","GPic":"\/upload\/20160327233002.jpg","GPrice":23.0,"GType":null,"categoryId":3,"g_count":200,"g_discount":0,"g_integration":0,"g_reco":"0"},{"GDesc":"羊肉能御风寒，又可补身体，适宜于冬季食用，故被称为冬令补品，深受人们欢迎。","GDis":null,"GId":19,"GName":"羊肉","GPic":"\/upload\/yangrou.jpg","GPrice":36.0,"GType":null,"categoryId":3,"g_count":2,"g_discount":0,"g_integration":0,"g_reco":"0"},{"GDesc":"牛肉是指从牛身上得出的肉，为常见的肉品之一。","GDis":null,"GId":20,"GName":"牛肉","GPic":"\/upload\/niurou.jpg","GPrice":48.0,"GType":null,"categoryId":3,"g_count":2,"g_discount":0,"g_integration":0,"g_reco":"0"},{"GDesc":"鸡肉不但适于热炒、炖汤，而且是比较适合冷食凉拌的肉类。","GDis":null,"GId":29,"GName":"鸡肉","GPic":"\/upload\/jirou.jpg","GPrice":16.8,"GType":null,"categoryId":3,"g_count":200,"g_discount":0,"g_integration":0,"g_reco":"0"},{"GDesc":"鸭是为餐桌上的上乘肴馔，也是人们进补的优良食品。","GDis":null,"GId":30,"GName":"鸭肉","GPic":"\/upload\/yarou.jpg","GPrice":18.8,"GType":null,"categoryId":3,"g_count":100,"g_discount":0,"g_integration":0,"g_reco":"0"}],"msg":"","result":"ok"}
[2022-02-09 23:26:07,183] INFO [testselectGoodCategory testcase_05_selectGoodCategory.py 30] 测试结果为Pass
[2022-02-09 23:26:07,856] INFO [TestCase_Log testcase_log.py 9] 测试用例：selectGoodCategory_para_opposite
[2022-02-09 23:26:07,856] INFO [TestCase_Log testcase_log.py 10] Url：http://192.168.107.135:80/freshO2O/goodsSelectByCategory.action
[2022-02-09 23:26:07,856] INFO [TestCase_Log testcase_log.py 11] 请求参数：{"result":"fail"}
[2022-02-09 23:26:07,857] INFO [TestCase_Log testcase_log.py 12] 期望结果：{"result":"fail"}
[2022-02-09 23:26:07,857] INFO [TestCase_Log testcase_log.py 13] 实际结果：{"category_id":3,"list":[{"GDesc":"吃猪肉，强身健体","GDis":null,"GId":8,"GName":"猪肉","GPic":"\/upload\/20160327233002.jpg","GPrice":23.0,"GType":null,"categoryId":3,"g_count":200,"g_discount":0,"g_integration":0,"g_reco":"0"},{"GDesc":"羊肉能御风寒，又可补身体，适宜于冬季食用，故被称为冬令补品，深受人们欢迎。","GDis":null,"GId":19,"GName":"羊肉","GPic":"\/upload\/yangrou.jpg","GPrice":36.0,"GType":null,"categoryId":3,"g_count":2,"g_discount":0,"g_integration":0,"g_reco":"0"},{"GDesc":"牛肉是指从牛身上得出的肉，为常见的肉品之一。","GDis":null,"GId":20,"GName":"牛肉","GPic":"\/upload\/niurou.jpg","GPrice":48.0,"GType":null,"categoryId":3,"g_count":2,"g_discount":0,"g_integration":0,"g_reco":"0"},{"GDesc":"鸡肉不但适于热炒、炖汤，而且是比较适合冷食凉拌的肉类。","GDis":null,"GId":29,"GName":"鸡肉","GPic":"\/upload\/jirou.jpg","GPrice":16.8,"GType":null,"categoryId":3,"g_count":200,"g_discount":0,"g_integration":0,"g_reco":"0"},{"GDesc":"鸭是为餐桌上的上乘肴馔，也是人们进补的优良食品。","GDis":null,"GId":30,"GName":"鸭肉","GPic":"\/upload\/yarou.jpg","GPrice":18.8,"GType":null,"categoryId":3,"g_count":100,"g_discount":0,"g_integration":0,"g_reco":"0"}],"msg":"","result":"ok"}
[2022-02-09 23:26:07,858] INFO [testselectGoodCategory testcase_05_selectGoodCategory.py 33] 测试结果为Fail
[2022-02-09 23:26:08,915] INFO [TestCase_Log testcase_log.py 9] 测试用例：selectGoodCategory_bypass_ui
[2022-02-09 23:26:08,915] INFO [TestCase_Log testcase_log.py 10] Url：http://192.168.107.135:80/freshO2O/goodsSelectByCategory.action
[2022-02-09 23:26:08,915] INFO [TestCase_Log testcase_log.py 11] 请求参数：{"category_id":"admin"}
[2022-02-09 23:26:08,915] INFO [TestCase_Log testcase_log.py 12] 期望结果：{"result":"fail"}
[2022-02-09 23:26:08,916] INFO [TestCase_Log testcase_log.py 13] 实际结果：<html><head><title>Apache Tomcat/6.0.14 - Error report</title><style><!--H1 {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;font-size:22px;} H2 {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;font-size:16px;} H3 {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;font-size:14px;} BODY {font-family:Tahoma,Arial,sans-serif;color:black;background-color:white;} B {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;} P {font-family:Tahoma,Arial,sans-serif;background:white;color:black;font-size:12px;}A {color : black;}A.name {color : black;}HR {color : #525D76;}--></style> </head><body><h1>HTTP Status 404 - No result defined for action com.freshO2O.action.GoodsSelectByCategoryAction and result input</h1><HR size="1" noshade="noshade"><p><b>type</b> Status report</p><p><b>message</b> <u>No result defined for action com.freshO2O.action.GoodsSelectByCategoryAction and result input</u></p><p><b>description</b> <u>The requested resource (No result defined for action com.freshO2O.action.GoodsSelectByCategoryAction and result input) is not available.</u></p><HR size="1" noshade="noshade"><h3>Apache Tomcat/6.0.14</h3></body></html>
[2022-02-09 23:26:08,916] INFO [testselectGoodCategory testcase_05_selectGoodCategory.py 33] 测试结果为Fail
[2022-02-09 23:26:09,067] INFO [TestCase_Log testcase_log.py 9] 测试用例：selectGoodCategory_business_logic
[2022-02-09 23:26:09,068] INFO [TestCase_Log testcase_log.py 10] Url：http://192.168.107.135:80/freshO2O/goodsSelectByCategory.action
[2022-02-09 23:26:09,068] INFO [TestCase_Log testcase_log.py 11] 请求参数：{"category_id":"3","category_id":"4"}
[2022-02-09 23:26:09,069] INFO [TestCase_Log testcase_log.py 12] 期望结果：{"result":"fail"}
